station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,154.2844
Cam_Le_DaNang,Cam Le,132.5875
Cau_Lau,Cau Lau,142.7062
Giao_Thuy,Giao Thuy,165.6594
Nong_Son,Nong Son,175.6375
Thanh_My,Thanh My,108.3094
Tuy_Loan,Tuy Loan,11.3219
