station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,633.6344
Cam_Le_DaNang,Cam Le,674.3953
Cau_Lau,Cau Lau,711.2938
Giao_Thuy,Giao Thuy,616.1719
Nong_Son,Nong Son,604.0578
Thanh_My,Thanh My,339.9297
Tuy_Loan,Tuy Loan,29.4688
