event_start,event_end,total_rainfall_mm,peak_daily_rainfall_mm
2022-10-09 00:00:00+00:00,2022-10-10 00:00:00+00:00,95.31518691588799,51.15093457943931
2022-10-14 00:00:00+00:00,2022-10-15 00:00:00+00:00,207.64509345794391,187.6233644859813
2022-10-22 00:00:00+00:00,2022-10-22 00:00:00+00:00,26.122663551401846,26.122663551401846
2022-10-25 00:00:00+00:00,2022-10-25 00:00:00+00:00,65.38528037383178,65.38528037383178
2022-11-19 00:00:00+00:00,2022-11-21 00:00:00+00:00,86.43364485981311,32.18434579439256
2022-12-01 00:00:00+00:00,2022-12-05 00:00:00+00:00,190.30443925233646,58.41355140186926
2022-12-17 00:00:00+00:00,2022-12-17 00:00:00+00:00,21.54485981308412,21.54485981308412
2023-01-16 00:00:00+00:00,2023-01-16 00:00:00+00:00,20.81144859813088,20.81144859813088
2023-01-24 00:00:00+00:00,2023-01-24 00:00:00+00:00,27.011915887850417,27.011915887850417
2023-01-27 00:00:00+00:00,2023-01-27 00:00:00+00:00,23.917056074766364,23.917056074766364
2023-02-27 00:00:00+00:00,2023-02-27 00:00:00+00:00,26.107710280373883,26.107710280373883
2023-06-09 00:00:00+00:00,2023-06-09 00:00:00+00:00,20.29299065420556,20.29299065420556
2023-09-25 00:00:00+00:00,2023-09-25 00:00:00+00:00,50.46518691588782,50.46518691588782
2023-10-09 00:00:00+00:00,2023-10-10 00:00:00+00:00,64.44462616822439,34.64532710280376
2023-10-12 00:00:00+00:00,2023-10-17 00:00:00+00:00,444.41565420560744,138.608878504673
2023-10-23 00:00:00+00:00,2023-10-23 00:00:00+00:00,31.921962616822423,31.921962616822423
2023-10-30 00:00:00+00:00,2023-10-30 00:00:00+00:00,37.19579439252337,37.19579439252337
2023-11-01 00:00:00+00:00,2023-11-01 00:00:00+00:00,22.540654205607474,22.540654205607474
2023-11-07 00:00:00+00:00,2023-11-07 00:00:00+00:00,20.287383177570103,20.287383177570103
2023-11-12 00:00:00+00:00,2023-11-14 00:00:00+00:00,122.24509345794401,52.88644859813082
2023-11-16 00:00:00+00:00,2023-11-16 00:00:00+00:00,46.459112149532736,46.459112149532736
2023-11-25 00:00:00+00:00,2023-11-25 00:00:00+00:00,41.30934579439247,41.30934579439247
2023-11-30 00:00:00+00:00,2023-12-02 00:00:00+00:00,118.44789719626169,44.11331775700936
2023-12-17 00:00:00+00:00,2023-12-17 00:00:00+00:00,22.69556074766361,22.69556074766361
2023-12-20 00:00:00+00:00,2023-12-21 00:00:00+00:00,59.42873831775698,33.6392523364486
2023-12-27 00:00:00+00:00,2023-12-28 00:00:00+00:00,73.93644859813091,47.18971962616827
2024-01-24 00:00:00+00:00,2024-01-25 00:00:00+00:00,59.388785046728984,35.07897196261686
2024-05-21 00:00:00+00:00,2024-05-21 00:00:00+00:00,24.88971962616824,24.88971962616824
2024-06-23 00:00:00+00:00,2024-06-23 00:00:00+00:00,27.867289719626168,27.867289719626168
2024-07-14 00:00:00+00:00,2024-07-14 00:00:00+00:00,42.31869158878495,42.31869158878495
2024-09-12 00:00:00+00:00,2024-09-12 00:00:00+00:00,20.223831775700976,20.223831775700976
2024-09-17 00:00:00+00:00,2024-09-18 00:00:00+00:00,169.5969626168221,137.8490654205605
2024-09-22 00:00:00+00:00,2024-09-22 00:00:00+00:00,23.987383177570123,23.987383177570123
2024-10-08 00:00:00+00:00,2024-10-08 00:00:00+00:00,23.37359813084116,23.37359813084116
2024-10-20 00:00:00+00:00,2024-10-21 00:00:00+00:00,90.38037383177561,51.914953271027976
2024-10-26 00:00:00+00:00,2024-10-27 00:00:00+00:00,202.63014018691578,125.05841121495328
2024-10-30 00:00:00+00:00,2024-10-30 00:00:00+00:00,33.85981308411217,33.85981308411217
2024-11-03 00:00:00+00:00,2024-11-05 00:00:00+00:00,147.7455607476635,68.06822429906539
2024-11-11 00:00:00+00:00,2024-11-12 00:00:00+00:00,85.8359813084112,60.293457943925205
2024-11-18 00:00:00+00:00,2024-11-18 00:00:00+00:00,24.600467289719628,24.600467289719628
2024-11-21 00:00:00+00:00,2024-11-24 00:00:00+00:00,118.79088785046727,40.382242990654184
2024-11-26 00:00:00+00:00,2024-11-26 00:00:00+00:00,23.01191588785049,23.01191588785049
2024-12-11 00:00:00+00:00,2024-12-11 00:00:00+00:00,36.23551401869155,36.23551401869155
2024-12-14 00:00:00+00:00,2024-12-14 00:00:00+00:00,23.459112149532675,23.459112149532675
2024-12-26 00:00:00+00:00,2024-12-27 00:00:00+00:00,74.56612149532711,51.385046728972
2025-01-15 00:00:00+00:00,2025-01-15 00:00:00+00:00,46.97873831775703,46.97873831775703
2025-02-24 00:00:00+00:00,2025-02-24 00:00:00+00:00,20.23738317757012,20.23738317757012
2025-03-16 00:00:00+00:00,2025-03-16 00:00:00+00:00,105.89088785046748,105.89088785046748
2025-04-12 00:00:00+00:00,2025-04-12 00:00:00+00:00,21.908644859813148,21.908644859813148
2025-06-11 00:00:00+00:00,2025-06-12 00:00:00+00:00,307.46191588785035,159.16471962616822
2025-07-05 00:00:00+00:00,2025-07-05 00:00:00+00:00,24.410046728971878,24.410046728971878
2025-07-16 00:00:00+00:00,2025-07-16 00:00:00+00:00,32.08084112149542,32.08084112149542
2025-07-26 00:00:00+00:00,2025-07-26 00:00:00+00:00,25.621495327102753,25.621495327102753
2025-08-16 00:00:00+00:00,2025-08-16 00:00:00+00:00,62.289953271028146,62.289953271028146
2025-08-26 00:00:00+00:00,2025-08-26 00:00:00+00:00,87.94509345794405,87.94509345794405
2025-08-29 00:00:00+00:00,2025-08-29 00:00:00+00:00,33.09322429906541,33.09322429906541
2025-09-14 00:00:00+00:00,2025-09-14 00:00:00+00:00,21.223831775700976,21.223831775700976
2025-09-26 00:00:00+00:00,2025-09-28 00:00:00+00:00,182.44275700934577,75.07873831775699
2025-10-10 00:00:00+00:00,2025-10-10 00:00:00+00:00,21.16612149532708,21.16612149532708
2025-10-17 00:00:00+00:00,2025-10-19 00:00:00+00:00,105.0796728971961,49.56355140186904
2025-10-23 00:00:00+00:00,2025-10-29 00:00:00+00:00,549.1228971962616,139.39696261682235
2025-10-31 00:00:00+00:00,2025-11-02 00:00:00+00:00,118.31635514018686,69.5880841121495
2025-11-06 00:00:00+00:00,2025-11-06 00:00:00+00:00,55.12827102803726,55.12827102803726
2025-11-15 00:00:00+00:00,2025-11-17 00:00:00+00:00,130.13294392523366,60.89345794392523
2025-11-19 00:00:00+00:00,2025-11-19 00:00:00+00:00,24.048831775700947,24.048831775700947
2025-11-23 00:00:00+00:00,2025-11-23 00:00:00+00:00,26.149532710280372,26.149532710280372
2025-12-03 00:00:00+00:00,2025-12-03 00:00:00+00:00,47.77476635514019,47.77476635514019
2025-12-21 00:00:00+00:00,2025-12-21 00:00:00+00:00,22.36588785046724,22.36588785046724
2026-06-28 00:00:00+00:00,2026-06-28 00:00:00+00:00,27.866588785046773,27.866588785046773
2026-07-03 00:00:00+00:00,2026-07-03 00:00:00+00:00,25.75700934579431,25.75700934579431
2026-07-12 00:00:00+00:00,2026-07-12 00:00:00+00:00,20.667523364486012,20.667523364486012
2026-07-27 00:00:00+00:00,2026-07-27 00:00:00+00:00,23.51682242990656,23.51682242990656
