station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,124.7062
Cam_Le_DaNang,Cam Le,118.5938
Cau_Lau,Cau Lau,150.175
Giao_Thuy,Giao Thuy,128.5125
Nong_Son,Nong Son,132.1062
Thanh_My,Thanh My,98.9969
Tuy_Loan,Tuy Loan,24.9344
