station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,95.8438
Cam_Le_DaNang,Cam Le,96.9812
Cau_Lau,Cau Lau,116.1516
Giao_Thuy,Giao Thuy,95.3219
Nong_Son,Nong Son,95.0047
Thanh_My,Thanh My,51.3578
Tuy_Loan,Tuy Loan,14.6891
