station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,3257.2422
Cam_Le_DaNang,Cam Le,3329.3989
Cau_Lau,Cau Lau,3449.5339
Giao_Thuy,Giao Thuy,3226.1228
Nong_Son,Nong Son,3209.0251
Thanh_My,Thanh My,2124.4296
Tuy_Loan,Tuy Loan,123.7704
