station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,166.3188
Cam_Le_DaNang,Cam Le,140.3
Cau_Lau,Cau Lau,155.6125
Giao_Thuy,Giao Thuy,180.6406
Nong_Son,Nong Son,193.0406
Thanh_My,Thanh My,88.2594
Tuy_Loan,Tuy Loan,13.8875
