station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,585.4688
Cam_Le_DaNang,Cam Le,536.0469
Cau_Lau,Cau Lau,579.1812
Giao_Thuy,Giao Thuy,610.5906
Nong_Son,Nong Son,632.7312
Thanh_My,Thanh My,459.5344
Tuy_Loan,Tuy Loan,34.9031
