date,discharge_m3s
2022-10-25 00:00:00+00:00,536.04688
2022-10-25 01:00:00+00:00,609.1441818181818
2022-10-25 02:00:00+00:00,682.2414836363636
2022-10-25 03:00:00+00:00,755.3387854545454
2022-10-25 04:00:00+00:00,828.4360872727273
2022-10-25 05:00:00+00:00,901.533389090909
2022-10-25 06:00:00+00:00,974.6306909090908
2022-10-25 07:00:00+00:00,1047.7279927272727
2022-10-25 08:00:00+00:00,1120.8252945454544
2022-10-25 09:00:00+00:00,1193.9225963636363
2022-10-25 10:00:00+00:00,1267.019898181818
2022-10-25 11:00:00+00:00,1340.1172
2022-10-25 12:00:00+00:00,1273.11134
2022-10-25 13:00:00+00:00,1206.10548
2022-10-25 14:00:00+00:00,1139.09962
2022-10-25 15:00:00+00:00,1072.09376
2022-10-25 16:00:00+00:00,1005.0879
2022-10-25 17:00:00+00:00,938.0820399999999
2022-10-25 18:00:00+00:00,871.0761799999999
2022-10-25 19:00:00+00:00,804.0703199999999
2022-10-25 20:00:00+00:00,737.0644599999999
2022-10-25 21:00:00+00:00,670.0586
2022-10-25 22:00:00+00:00,603.05274
2022-10-25 23:00:00+00:00,536.04688
