lat,lon,flow_area
16.057029724121094,108.21882629394533,Perimeter 1
16.057249,108.2099,Perimeter 1
16.05737,108.17186,Perimeter 1
16.057613,108.243115,Perimeter 2
16.0576222,108.2140635,Perimeter 1
16.057736,108.172294,Perimeter 1
16.058088302612305,108.21272277832033,Perimeter 1
16.058097,108.176358,Perimeter 1
16.0582374,108.1853408,Perimeter 1
16.058324,108.183332,Perimeter 1
16.058329,108.204388,Perimeter 1
16.05844,108.20857,Perimeter 1
16.058481,108.174538,Perimeter 1
16.05857,108.175165,Perimeter 1
16.058578491210938,108.184375098585,Perimeter 1
16.05867033699312,108.18442019986053,Perimeter 1
16.0587158203125,108.17282790966496,Perimeter 1
16.058777,108.231758,Perimeter 2
16.058884,108.175205,Perimeter 1
16.058940887451172,108.20952606201172,Perimeter 1
16.059013,108.207359,Perimeter 1
16.0590904,108.1838081,Perimeter 1
16.059119,108.175579,Perimeter 1
16.0594928,108.1754197,Perimeter 1
16.059528,108.175181,Perimeter 1
16.059568,108.174272,Perimeter 1
16.059656143188477,108.1865692138672,Perimeter 1
16.059846878051758,108.21114349365234,Perimeter 1
16.059951,108.235026,Perimeter 2
16.060049,108.210759,Perimeter 1
16.060278,108.214302,Perimeter 1
16.060291,108.209328,Perimeter 1
16.060342,108.215033,Perimeter 1
16.060348,108.212976,Perimeter 1
16.06038,108.21822,Perimeter 1
16.06048,108.21371,Perimeter 1
16.060583114624023,108.21109771728516,Perimeter 1
16.0605904,108.1850074,Perimeter 1
16.0606614,108.2107768,Perimeter 1
16.060806274414062,108.22024536132812,Perimeter 1
16.0608477,108.1715949,Perimeter 1
16.060848236083984,108.22110748291016,Perimeter 1
16.06085777282715,108.21092224121094,Perimeter 1
16.060883,108.231583,Perimeter 2
16.060898,108.209297,Perimeter 1
16.060903549194336,108.22376251220705,Perimeter 1
16.060923,108.21138,Perimeter 1
16.060955,108.211639,Perimeter 1
16.0609828,108.1843872,Perimeter 1
16.06114,108.186041,Perimeter 1
16.061187,108.212021,Perimeter 1
16.0614514,108.1853607,Perimeter 1
16.061561584472656,108.19134521484376,Perimeter 1
16.061596,108.209129,Perimeter 1
16.061615,108.209198,Perimeter 1
16.0616291,108.1859298,Perimeter 1
16.061790466308594,108.20947265625,Perimeter 1
16.061917,108.210927,Perimeter 1
16.0619868,108.1837617,Perimeter 1
16.0622553,108.1844798,Perimeter 1
16.062294006347656,108.21025848388672,Perimeter 1
16.062532,108.209977,Perimeter 1
16.062622,108.1730189,Perimeter 1
16.062648,108.209036,Perimeter 1
16.06266212463379,108.19182586669922,Perimeter 1
16.062677,108.21196,Perimeter 1
16.0627413,108.1805479,Perimeter 1
16.062799,108.209508,Perimeter 1
16.062807,108.213989,Perimeter 1
16.063151,108.217167,Perimeter 1
16.06327,108.21063,Perimeter 1
16.063423,108.243988,Perimeter 2
16.063623428344727,108.21160125732422,Perimeter 1
16.063707,108.214172,Perimeter 1
16.06394,108.23185,Perimeter 2
16.064091,108.214226,Perimeter 1
16.0642295,108.2160473,Perimeter 1
16.0643883,108.2101132,Perimeter 1
16.064423,108.213722,Perimeter 1
16.064478,108.21431,Perimeter 1
16.064484,108.214272,Perimeter 1
16.064529,108.181082,Perimeter 1
16.0645482,108.1790123,Perimeter 1
16.064598083496094,108.21124267578124,Perimeter 1
16.064611,108.240637,Perimeter 2
16.0647079,108.1982881,Perimeter 1
16.064773,108.217628,Perimeter 1
16.064796,108.235035,Perimeter 2
16.064892,108.210449,Perimeter 1
16.06522,108.2209,Perimeter 1
16.0652957,108.2143532,Perimeter 1
16.0656108,108.2155454,Perimeter 1
16.06567,108.240331,Perimeter 2
16.065918,108.200386,Perimeter 1
16.06593,108.20764,Perimeter 1
16.065981,108.241725,Perimeter 2
16.065991,108.215649,Perimeter 1
16.06606101989746,108.19847106933594,Perimeter 1
16.066219,108.20858,Perimeter 1
16.066222,108.191776,Perimeter 1
16.066239,108.233083,Perimeter 2
16.066251,108.174651,Perimeter 1
16.066253662109375,108.1903305053711,Perimeter 1
16.066278,108.210194,Perimeter 1
16.066296,108.209007,Perimeter 1
16.06633,108.22178,Perimeter 1
16.0663742,108.2101012,Perimeter 1
16.066383361816406,108.2091064453125,Perimeter 1
16.0663964,108.2418612,Perimeter 2
16.0664283,108.2417632,Perimeter 2
16.066435,108.209442,Perimeter 1
16.066463470458984,108.23047637939452,Perimeter 2
16.066503524780273,108.2098388671875,Perimeter 1
16.066539764404297,108.19353485107422,Perimeter 1
16.06659,108.21015,Perimeter 1
16.06659,108.21025,Perimeter 1
16.066612,108.210938,Perimeter 1
16.0666125,108.2407729,Perimeter 2
16.066637,108.21093,Perimeter 1
16.066684,108.21798,Perimeter 1
16.066767,108.211655,Perimeter 1
16.066817,108.24181,Perimeter 2
16.066875,108.216579,Perimeter 1
16.0669593,108.2427448,Perimeter 2
16.066969,108.182337,Perimeter 1
16.067069,108.216025,Perimeter 1
16.067102,108.240104,Perimeter 2
16.067104,108.190697,Perimeter 1
16.067154,108.191948,Perimeter 1
16.067158,108.214932,Perimeter 1
16.067383,108.190872,Perimeter 1
16.067413330078125,108.20306044312882,Perimeter 1
16.067462921142578,108.1987075805664,Perimeter 1
16.067516,108.198708,Perimeter 1
16.067663,108.208321,Perimeter 1
16.0677286,108.2245453,Perimeter 1
16.067749,108.231316,Perimeter 2
16.06776,108.208389,Perimeter 1
16.067835,108.191582,Perimeter 1
16.06787,108.190525,Perimeter 1
16.06793212890625,108.20164489746094,Perimeter 1
16.067983627319336,108.21009826660156,Perimeter 1
16.06812,108.217469,Perimeter 1
16.068144,108.192096,Perimeter 1
16.0683,108.2003,Perimeter 1
16.068301,108.222814,Perimeter 1
16.068336486816406,108.19647979736328,Perimeter 1
16.068401336669922,108.19549560546876,Perimeter 1
16.06842,108.23056,Perimeter 2
16.068521,108.243938,Perimeter 2
16.06856,108.243546,Perimeter 2
16.06871,108.18756,Perimeter 1
16.06878,108.244562,Perimeter 2
16.068825,108.182802,Perimeter 1
16.068886,108.191795,Perimeter 1
16.068965911865234,108.17620849609376,Perimeter 1
16.0689697265625,108.21847447831269,Perimeter 1
16.06898,108.22403,Perimeter 1
