station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,123.6844
Cam_Le_DaNang,Cam Le,138.5375
Cau_Lau,Cau Lau,159.025
Giao_Thuy,Giao Thuy,118.4594
Nong_Son,Nong Son,115.375
Thanh_My,Thanh My,55.2125
Tuy_Loan,Tuy Loan,13.25
