station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,96.2
Cam_Le_DaNang,Cam Le,94.3375
Cau_Lau,Cau Lau,111.2375
Giao_Thuy,Giao Thuy,97.7828
Nong_Son,Nong Son,99.5922
Thanh_My,Thanh My,48.8141
Tuy_Loan,Tuy Loan,12.5734
