station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,802.1844
Cam_Le_DaNang,Cam Le,805.9109
Cau_Lau,Cau Lau,834.8438
Giao_Thuy,Giao Thuy,801.9203
Nong_Son,Nong Son,803.6109
Thanh_My,Thanh My,349.9578
Tuy_Loan,Tuy Loan,22.3688
