station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,173.6781
Cam_Le_DaNang,Cam Le,165.9203
Cau_Lau,Cau Lau,189.1469
Giao_Thuy,Giao Thuy,178.5688
Nong_Son,Nong Son,183.2984
Thanh_My,Thanh My,110.8969
Tuy_Loan,Tuy Loan,20.2844
