station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,574.0406
Cam_Le_DaNang,Cam Le,489.0062
Cau_Lau,Cau Lau,484.5594
Giao_Thuy,Giao Thuy,612.6312
Nong_Son,Nong Son,643.5312
Thanh_My,Thanh My,466.0938
Tuy_Loan,Tuy Loan,19.6719
