station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,598.9656
Cam_Le_DaNang,Cam Le,622.3125
Cau_Lau,Cau Lau,648.2938
Giao_Thuy,Giao Thuy,588.4031
Nong_Son,Nong Son,581.5531
Thanh_My,Thanh My,324.8875
Tuy_Loan,Tuy Loan,26.2656
