station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,150.0438
Cam_Le_DaNang,Cam Le,125.3312
Cau_Lau,Cau Lau,132.6062
Giao_Thuy,Giao Thuy,163.5438
Nong_Son,Nong Son,175.1938
Thanh_My,Thanh My,101.9125
Tuy_Loan,Tuy Loan,8.0125
