station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,304.6125
Cam_Le_DaNang,Cam Le,305.55
Cau_Lau,Cau Lau,312.975
Giao_Thuy,Giao Thuy,301.525
Nong_Son,Nong Son,298.275
Thanh_My,Thanh My,137.8
Tuy_Loan,Tuy Loan,8.025
