station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,207.725
Cam_Le_DaNang,Cam Le,225.6125
Cau_Lau,Cau Lau,232.325
Giao_Thuy,Giao Thuy,198.875
Nong_Son,Nong Son,191.7625
Thanh_My,Thanh My,62.575
Tuy_Loan,Tuy Loan,6.175
