station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,88.0938
Cam_Le_DaNang,Cam Le,84.825
Cau_Lau,Cau Lau,95.3062
Giao_Thuy,Giao Thuy,90.7312
Nong_Son,Nong Son,93.475
Thanh_My,Thanh My,45.2563
Tuy_Loan,Tuy Loan,7.65
