station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,79.2797
Cam_Le_DaNang,Cam Le,85.4078
Cau_Lau,Cau Lau,101.0016
Giao_Thuy,Giao Thuy,77.0062
Nong_Son,Nong Son,75.5844
Thanh_My,Thanh My,42.6578
Tuy_Loan,Tuy Loan,11.2969
