date,discharge_m3s
2022-10-14 00:00:00+00:00,1379.26876
2022-10-14 01:00:00+00:00,1508.5752062499998
2022-10-14 02:00:00+00:00,1637.8816525
2022-10-14 03:00:00+00:00,1767.1880987499999
2022-10-14 04:00:00+00:00,1896.494545
2022-10-14 05:00:00+00:00,2025.80099125
2022-10-14 06:00:00+00:00,2155.1074375
2022-10-14 07:00:00+00:00,2284.41388375
2022-10-14 08:00:00+00:00,2413.72033
2022-10-14 09:00:00+00:00,2543.02677625
2022-10-14 10:00:00+00:00,2672.3332225
2022-10-14 11:00:00+00:00,2801.63966875
2022-10-14 12:00:00+00:00,2930.9461149999997
2022-10-14 13:00:00+00:00,3060.25256125
2022-10-14 14:00:00+00:00,3189.5590075
2022-10-14 15:00:00+00:00,3318.8654537499997
2022-10-14 16:00:00+00:00,3448.1719
2022-10-14 17:00:00+00:00,3697.8741892857142
2022-10-14 18:00:00+00:00,3947.576478571428
2022-10-14 19:00:00+00:00,4197.278767857143
2022-10-14 20:00:00+00:00,4446.981057142857
2022-10-14 21:00:00+00:00,4696.683346428572
2022-10-14 22:00:00+00:00,4946.385635714286
2022-10-14 23:00:00+00:00,5196.087925
2022-10-15 00:00:00+00:00,5445.790214285715
2022-10-15 01:00:00+00:00,5695.492503571429
2022-10-15 02:00:00+00:00,5945.194792857143
2022-10-15 03:00:00+00:00,6194.8970821428575
2022-10-15 04:00:00+00:00,6444.599371428571
2022-10-15 05:00:00+00:00,6694.301660714285
2022-10-15 06:00:00+00:00,6944.00395
2022-10-15 07:00:00+00:00,7193.706239285714
2022-10-15 08:00:00+00:00,7443.408528571428
2022-10-15 09:00:00+00:00,7693.110817857143
2022-10-15 10:00:00+00:00,7942.813107142858
2022-10-15 11:00:00+00:00,8192.515396428571
2022-10-15 12:00:00+00:00,8442.217685714286
2022-10-15 13:00:00+00:00,8691.919975
2022-10-15 14:00:00+00:00,8941.622264285714
2022-10-15 15:00:00+00:00,9191.324553571429
2022-10-15 16:00:00+00:00,9441.026842857143
2022-10-15 17:00:00+00:00,9690.729132142857
2022-10-15 18:00:00+00:00,9940.431421428571
2022-10-15 19:00:00+00:00,10190.133710714286
2022-10-15 20:00:00+00:00,10439.836
2022-10-15 21:00:00+00:00,8351.8688
2022-10-15 22:00:00+00:00,6263.9016
2022-10-15 23:00:00+00:00,4175.9344
