station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,1328.7094
Cam_Le_DaNang,Cam Le,1226.1469
Cau_Lau,Cau Lau,1285.1781
Giao_Thuy,Giao Thuy,1379.2688
Nong_Son,Nong Son,1423.1906
Thanh_My,Thanh My,815.6281
Tuy_Loan,Tuy Loan,63.0031
