station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,2324.1528
Cam_Le_DaNang,Cam Le,2257.2387
Cau_Lau,Cau Lau,2278.1554
Giao_Thuy,Giao Thuy,2350.3993
Nong_Son,Nong Son,2372.4645
Thanh_My,Thanh My,1254.8976
Tuy_Loan,Tuy Loan,43.4887
