station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,212.0594
Cam_Le_DaNang,Cam Le,217.3062
Cau_Lau,Cau Lau,235.375
Giao_Thuy,Giao Thuy,212.4219
Nong_Son,Nong Son,214.3188
Thanh_My,Thanh My,96.8781
Tuy_Loan,Tuy Loan,13.3406
