station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,165.4219
Cam_Le_DaNang,Cam Le,164.3188
Cau_Lau,Cau Lau,184.5875
Giao_Thuy,Giao Thuy,168.3906
Nong_Son,Nong Son,172.0906
Thanh_My,Thanh My,101.9281
Tuy_Loan,Tuy Loan,18.4375
