station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,76.6438
Cam_Le_DaNang,Cam Le,71.7344
Cau_Lau,Cau Lau,80.2688
Giao_Thuy,Giao Thuy,79.9
Nong_Son,Nong Son,83.0344
Thanh_My,Thanh My,54.6094
Tuy_Loan,Tuy Loan,6.5031
