station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,209.925
Cam_Le_DaNang,Cam Le,226.3125
Cau_Lau,Cau Lau,241.9125
Giao_Thuy,Giao Thuy,206.5375
Nong_Son,Nong Son,205.8562
Thanh_My,Thanh My,101.7875
Tuy_Loan,Tuy Loan,9.2313
