station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,640.7078
Cam_Le_DaNang,Cam Le,632.7281
Cau_Lau,Cau Lau,658.2938
Giao_Thuy,Giao Thuy,643.8688
Nong_Son,Nong Son,647.1484
Thanh_My,Thanh My,272.2516
Tuy_Loan,Tuy Loan,22.0531
