station,river,initial_flow_m3s
Ai_Nghia,Ai Nghia,104.6828
Cam_Le_DaNang,Cam Le,106.0844
Cau_Lau,Cau Lau,122.8438
Giao_Thuy,Giao Thuy,105.4531
Nong_Son,Nong Son,106.9281
Thanh_My,Thanh My,49.4375
Tuy_Loan,Tuy Loan,11.4125
